state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
12,1,1203,12001001203,0.883,0.943,0.478,0.193,0.125,10.68,43508.0,3506.0,1641.0,88.3,94.3,19.3,12.5,43508.0,47.8,1641.0,1548.0,1449.0,3506.0,677.0,3506.0,437.0,2604.0,1246.0,1548,1449,1548,0,1449,99,93,3487,440,412,0,385,27,28,12
12,1,1400,12001001400,0.777,0.899,0.152,0.625,0.022000000000000002,10.66,42813.0,4652.0,976.0,77.7,89.9,62.5,2.2,42813.0,15.2,976.0,877.0,758.0,4652.0,2907.0,4652.0,102.0,3141.0,477.0,877,758,877,6,758,113,99,3105,911,896,0,843,53,15,12
12,1,1514,12001001514,0.882,0.9640000000000001,0.635,0.096,0.183,10.2,26827.0,1689.0,769.0,88.2,96.4,9.6,18.3,26827.0,63.5,769.0,741.0,678.0,1689.0,162.0,1689.0,309.0,906.0,575.0,741,678,741,5,678,58,28,1656,87,87,0,87,0,0,12
12,1,1515,12001001515,0.8370000000000001,0.963,0.47200000000000003,0.172,0.11900000000000001,9.83,18542.0,4919.0,2175.0,83.7,96.3,17.2,11.9,18542.0,47.2,2175.0,2095.0,1821.0,4919.0,848.0,4919.0,583.0,1991.0,940.0,2095,1821,2095,0,1812,283,80,4919,238,120,0,120,0,118,12
12,1,1516,12001001516,0.7490000000000001,0.9590000000000001,0.579,0.21899999999999997,0.114,9.86,19229.0,2422.0,983.0,74.9,95.9,21.9,11.4,19229.0,57.9,983.0,943.0,736.0,2422.0,530.0,2422.0,276.0,991.0,574.0,943,736,943,0,736,207,40,2422,153,123,0,123,0,30,12
12,1,1517,12001001517,0.927,0.975,0.575,0.077,0.205,10.28,29031.0,4547.0,1852.0,92.7,97.5,7.7,20.5,29031.0,57.5,1852.0,1805.0,1717.0,4547.0,352.0,4547.0,930.0,2103.0,1209.0,1805,1717,1805,0,1687,118,47,4399,283,283,0,283,0,0,12
12,1,1519,12001001519,0.929,0.9640000000000001,0.6779999999999999,0.16399999999999998,0.127,10.12,24787.0,2622.0,775.0,92.9,96.4,16.4,12.7,24787.0,67.8,775.0,747.0,720.0,2622.0,431.0,2622.0,333.0,1049.0,711.0,747,720,747,0,720,27,28,2622,124,124,0,124,0,0,12
12,1,1520,12001001520,0.838,0.904,0.387,0.271,0.147,9.54,13864.0,2494.0,1040.0,83.8,90.4,27.1,14.7,13864.0,38.7,1040.0,940.0,872.0,2494.0,675.0,2494.0,367.0,1044.0,404.0,940,872,940,0,872,68,100,2393,52,52,0,52,0,0,12
12,1,1521,12001001521,0.885,0.955,0.337,0.237,0.23199999999999998,10.11,24639.0,4221.0,1938.0,88.5,95.5,23.7,23.2,24639.0,33.7,1938.0,1851.0,1715.0,4221.0,1002.0,4221.0,978.0,1915.0,646.0,1851,1715,1851,0,1715,136,87,4221,520,520,0,520,0,0,12
12,1,1603,12001001603,0.975,0.995,0.51,0.156,0.154,10.85,51750.0,1716.0,563.0,97.5,99.5,15.6,15.4,51750.0,51.0,563.0,560.0,549.0,1716.0,267.0,1716.0,265.0,960.0,490.0,560,549,560,0,549,11,3,1716,268,268,0,268,0,0,12
12,1,1604,12001001604,0.9159999999999999,0.972,0.573,0.135,0.128,10.22,27405.0,7469.0,3196.0,91.6,97.2,13.5,12.8,27405.0,57.3,3196.0,3107.0,2929.0,7469.0,1006.0,7469.0,956.0,3142.0,1801.0,3107,2929,3107,0,2929,178,89,7357,373,373,0,294,79,0,12
12,1,1701,12001001701,0.84,0.903,0.503,0.16699999999999998,0.07,10.78,48125.0,5161.0,2533.0,84.0,90.3,16.7,7.0,48125.0,50.3,2533.0,2287.0,2127.0,5161.0,862.0,5161.0,359.0,3704.0,1863.0,2287,2127,2287,29,2093,165,246,5121,662,642,5,637,0,20,12
12,1,1702,12001001702,0.938,0.953,0.616,0.057,0.16899999999999998,11.18,71495.0,5804.0,2057.0,93.8,95.3,5.7,16.9,71495.0,61.6,2057.0,1961.0,1930.0,5804.0,333.0,5804.0,980.0,3998.0,2461.0,1961,1930,1961,12,1908,41,96,5648,1330,1330,0,1272,58,0,12
12,1,1801,12001001801,0.8390000000000001,0.903,0.272,0.136,0.106,10.96,57674.0,7612.0,2822.0,83.9,90.3,13.6,10.6,57674.0,27.2,2822.0,2549.0,2369.0,7612.0,1034.0,7612.0,809.0,5487.0,1491.0,2549,2369,2549,17,2364,168,273,7586,1522,1422,0,1422,0,100,12
12,1,1802,12001001802,0.708,0.86,0.23600000000000002,0.375,0.07400000000000001,10.26,28676.0,2668.0,1207.0,70.8,86.0,37.5,7.4,28676.0,23.6,1207.0,1038.0,855.0,2668.0,1001.0,2668.0,197.0,1836.0,434.0,1038,855,1038,0,848,190,169,2662,570,570,0,503,67,0,12
12,1,1803,12001001803,0.8959999999999999,0.9329999999999999,0.39899999999999997,0.255,0.109,10.89,53500.0,6254.0,2848.0,89.6,93.3,25.5,10.9,53500.0,39.9,2848.0,2658.0,2552.0,6254.0,1592.0,6254.0,682.0,4425.0,1765.0,2658,2552,2658,13,2536,109,190,6254,1172,1172,0,1172,0,0,12
12,1,1805,12001001805,0.883,0.914,0.405,0.129,0.065,11.35,84922.0,1562.0,545.0,88.3,91.4,12.9,6.5,84922.0,40.5,545.0,498.0,481.0,1562.0,202.0,1562.0,102.0,1058.0,428.0,498,481,498,0,481,17,47,1562,376,363,0,356,7,13,12
12,1,1806,12001001806,0.82,0.9229999999999999,0.28800000000000003,0.134,0.107,11.03,61404.0,9267.0,3530.0,82.0,92.3,13.4,10.7,61404.0,28.8,3530.0,3259.0,2895.0,9267.0,1238.0,9267.0,990.0,6711.0,1933.0,3259,2895,3259,17,2895,347,271,9258,1965,1829,0,1801,28,136,12
