tract,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state
12089050301,1516.875,1046.487258064516,1.7741935483870968,1.25,1.153225806451613,0.3870967741935484,12
12089050302,922.2426470588236,416.08311764705877,2.272058823529412,1.4191176470588236,1.3235294117647058,0.3970588235294117,12
12089050303,930.6321839080459,316.10960919540236,2.2988505747126435,1.4367816091954022,1.2183908045977012,0.29310344827586204,12
12089050400,601.9351585014409,216.72352737752158,1.9077809798270893,1.1671469740634006,0.7809798270893372,0.15561959654178675,12
12089050502,929.5463917525772,176.67802061855667,2.247422680412371,1.649484536082474,1.0721649484536082,0.10309278350515463,12
12089050503,676.646511627907,323.3327255813953,2.097674418604651,1.4511627906976745,0.944186046511628,0.2790697674418605,12
12089050504,435.7209302325582,101.71855813953488,1.5,0.8953488372093024,0.4186046511627907,0.04651162790697674,12
12091020100,506.6469387755102,33.739004081632665,1.43265306122449,0.7061224489795919,0.5020408163265306,0.0163265306122449,12
12091020200,90.05462184873949,9.414117647058822,1.6974789915966386,0.050420168067226885,0.050420168067226885,0.0,12
12091020301,926.8971962616823,33.75016822429907,1.6448598130841119,1.0093457943925233,0.9252336448598132,0.018691588785046728,12
12091020302,332.36328125,36.2645625,1.203125,0.34375,0.34375,0.0234375,12
12091020400,942.7532467532468,45.290584415584405,1.8376623376623376,0.9675324675324676,0.9610389610389609,0.012987012987012988,12
12091020500,944.6925795053005,47.728042402826865,1.6643109540636043,1.0,0.9717314487632508,0.038869257950530034,12
12091020600,889.7197309417039,40.277067264574,1.8699551569506727,0.9327354260089686,0.9013452914798208,0.022421524663677132,12
12091020700,955.7005076142133,44.53172588832487,1.802030456852792,1.0,0.9796954314720812,0.030456852791878174,12
12091020800,822.2045454545455,29.133727272727274,1.6136363636363635,0.8636363636363636,0.8181818181818182,0.0,12
12091020900,935.304761904762,59.27392380952381,1.809523809523809,1.0571428571428572,0.9714285714285714,0.0380952380952381,12
12091021001,969.296875,34.965125,1.8125,0.984375,0.96875,0.015625,12
12091021002,862.8333333333335,30.375,1.7692307692307692,0.9102564102564102,0.8717948717948718,0.0,12
12091021101,938.2736842105264,61.64736842105264,1.9368421052631581,0.9894736842105264,0.9789473684210528,0.03157894736842105,12
12091021102,927.9365853658536,32.66843902439025,1.5658536585365854,0.9365853658536586,0.9365853658536586,0.0,12
12091021200,334.43523316062175,35.72859067357511,1.1865284974093264,0.3730569948186528,0.32642487046632124,0.02590673575129533,12
