GEOID,devices,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state_x,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,type,quarter,year,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,NAME,LSAD,ALAND,AWATER,tile,state_y,county,tract,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
32003000106,175.0,835.8333333333336,54.80555555555557,2.9722222222222223,0.8611111111111112,0.8611111111111112,0.027777777777777693,32.0,230131002155145.47,141041.46857142856,23985.405714285713,19.422857142857143,39.70857142857143,fixed,Q1,2021.0,32.0,3.0,106.0,1400000US32003000106,1.06,CT,1411763.0,0.0,"list(c(-115.213623046875, -115.208129882812, -115.208129882812, -115.213623046875, -115.213623046875, 36.1733569352216, 36.1733569352216, 36.1689225362274, 36.1689225362274, 36.1733569352216))",32.0,3.0,106.0,0.6490000000000001,0.7689999999999999,0.19599999999999998,0.11300000000000002,0.46799999999999986,10.38,32188.0,4421.0,1927.0,64.9,76.9,11.3,46.8,32188.0,19.6,1927.0,1481.0,1251.0,4421.0,499.0,4421.0,2069.0,3240.0,635.0,1481.0,1251.0,1481.0,11.0,1227.0,243.0,446.0,4421.0,942.0,767.0,0.0,699.0,68.0,175.0,32.0
32003000107,230.0,1000.0,487.5,3.71875,1.53125,1.5,0.5,32.0,230131002210019.7,147342.8652173913,32029.152173913044,15.28695652173913,42.073913043478264,fixed,Q1,2021.0,32.0,3.0,107.0,1400000US32003000107,1.07,CT,1248432.0,0.0,"list(c(-115.208129882812, -115.20263671875, -115.20263671875, -115.208129882812, -115.208129882812, 36.1644878863206, 36.1644878863206, 36.1600529855135, 36.1600529855135, 36.1644878863206))",32.0,3.0,107.0,0.7340000000000002,0.8130000000000001,0.134,0.107,0.528,10.56,38733.0,4020.0,1499.0,73.4,81.3,10.699999999999998,52.79999999999999,38733.0,13.4,1499.0,1218.0,1101.0,4020.0,430.0,4020.0,2122.0,2784.0,372.0,1218.0,1101.0,1218.0,0.0,1088.0,130.0,281.0,4014.0,976.0,976.0,0.0,778.0,198.0,0.0,32.0
32003000108,152.0,943.1730769230767,50.84615384615386,2.9038461538461533,1.4807692307692306,0.9615384615384613,0.0192307692307692,32.0,230131002032222.34,150018.0855263158,16747.41447368421,14.447368421052632,34.64473684210526,fixed,Q1,2021.0,32.0,3.0,108.0,1400000US32003000108,1.08,CT,942475.0,0.0,"list(c(-115.208129882812, -115.20263671875, -115.20263671875, -115.208129882812, -115.208129882812, 36.1822249804225, 36.1822249804225, 36.1777910832907, 36.1777910832907, 36.1822249804225))",32.0,3.0,108.0,0.605,0.8990000000000001,0.072,0.13699999999999993,0.634,10.62,40795.0,3317.0,1075.0,60.5,89.9,13.699999999999998,63.4,40795.0,7.2,1075.0,966.0,650.0,3317.0,453.0,3317.0,2102.0,2074.0,150.0,966.0,650.0,966.0,0.0,650.0,316.0,109.0,3317.0,892.0,843.0,0.0,674.0,169.0,49.0,32.0
32003000109,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32003000201,56.0,880.7317073170732,518.3414634146342,3.341463414634146,1.4634146341463412,1.4146341463414633,0.5121951219512194,32.0,230131002033212.34,156290.23214285713,49581.67857142857,13.017857142857142,19.25,fixed,Q1,2021.0,32.0,3.0,201.0,1400000US32003000201,2.0099999999999993,CT,2179713.0,0.0,"list(c(-115.169677734375, -115.164184570312, -115.164184570312, -115.169677734375, -115.169677734375, 36.1822249804225, 36.1822249804225, 36.1777910832907, 36.1777910832907, 36.1822249804225))",32.0,3.0,201.0,0.6129999999999999,0.809,0.15,0.483,0.337,10.200000000000001,26832.0,3862.0,1421.0,61.300000000000004,80.89999999999999,48.300000000000004,33.7,26832.0,15.0,1421.0,1149.0,871.0,3862.0,1865.0,3862.0,1300.0,2321.0,348.0,1149.0,871.0,1149.0,0.0,871.0,278.0,272.0,3862.0,1216.0,1216.0,0.0,1056.0,160.0,0.0,32.0
32003000203,291.0,868.75,135.04545454545453,2.727272727272727,1.0,0.9772727272727272,0.0909090909090909,32.0,230131002182912.3,140523.60137457045,20722.305841924397,22.127147766323024,28.2233676975945,fixed,Q1,2021.0,32.0,3.0,203.0,1400000US32003000203,2.03,CT,2039400.0,0.0,"list(c(-115.164184570312, -115.15869140625, -115.15869140625, -115.164184570312, -115.164184570312, 36.1644878863206, 36.1644878863206, 36.1600529855135, 36.1600529855135, 36.1644878863206))",32.0,3.0,203.0,0.714,0.8999999999999999,0.15599999999999997,0.265,0.37000000000000005,10.599999999999998,40060.0,4479.0,1466.0,71.4,90.0,26.5,37.0,40060.0,15.600000000000001,1466.0,1319.0,1046.0,4479.0,1185.0,4479.0,1656.0,2753.0,429.0,1319.0,1046.0,1319.0,38.0,1046.0,235.0,147.0,4312.0,1187.0,1053.0,141.0,847.0,65.0,134.0,32.0
32003000204,283.0,645.3,77.74,2.62,0.6999999999999998,0.6999999999999998,0.060000000000000005,32.0,230131002211166.97,134842.6996466431,30831.48409893993,23.33922261484099,20.342756183745582,fixed,Q1,2021.0,32.0,3.0,204.0,1400000US32003000204,2.0399999999999996,CT,1731610.0,0.0,"list(c(-115.15869140625, -115.153198242188, -115.153198242188, -115.15869140625, -115.15869140625, 36.1556178338185, 36.1556178338185, 36.151182431248, 36.151182431248, 36.1556178338185))",32.0,3.0,204.0,0.9829999999999999,0.9829999999999999,0.42,0.149,0.083,11.429999999999998,91641.0,1133.0,343.0,98.3,98.3,14.899999999999999,8.300000000000002,91641.0,42.0,343.0,337.0,337.0,1133.0,169.0,1133.0,94.0,826.0,347.0,337.0,337.0,337.0,0.0,332.0,5.0,6.0,1033.0,212.0,212.0,0.0,212.0,0.0,0.0,32.0
32003000301,100.0,953.0930232558144,275.5348837209301,1.9534883720930227,1.1976744186046508,1.1976744186046508,0.2674418604651162,32.0,230131002116793.12,124414.71,21932.83,18.51,15.23,fixed,Q1,2021.0,32.0,3.0,301.0,1400000US32003000301,3.01,CT,3645863.0,0.0,"list(c(-115.147705078125, -115.142211914062, -115.142211914062, -115.147705078125, -115.147705078125, 36.1866586266045, 36.1866586266045, 36.1822249804225, 36.1822249804225, 36.1866586266045))",32.0,3.0,301.0,0.6140000000000001,0.7879999999999998,0.08100000000000002,0.5109999999999999,0.382,10.35,31250.0,2940.0,885.0,61.4,78.80000000000001,51.099999999999994,38.2,31250.0,8.100000000000001,885.0,697.0,543.0,2940.0,1502.0,2940.0,1123.0,1980.0,161.0,697.0,543.0,697.0,0.0,536.0,161.0,188.0,2609.0,687.0,680.0,0.0,502.0,178.0,7.0,32.0
32003000302,177.0,983.8596491228071,496.14035087719293,3.175438596491228,1.5263157894736843,1.4912280701754383,0.5263157894736842,32.0,230131002033204.78,126462.54237288136,31341.858757062146,18.943502824858758,16.519774011299436,fixed,Q1,2021.0,32.0,3.0,302.0,1400000US32003000302,3.0199999999999996,CT,2309196.0,0.0,"list(c(-115.153198242188, -115.147705078125, -115.147705078125, -115.153198242188, -115.153198242188, 36.1777910832907, 36.1777910832907, 36.1733569352216, 36.1733569352216, 36.1777910832907))",32.0,3.0,302.0,0.565,0.8019999999999999,0.036,0.596,0.3410000000000001,9.96,21186.0,4742.0,1601.0,56.5,80.2,59.6,34.1,21186.0,3.6,1601.0,1284.0,905.0,4742.0,2826.0,4742.0,1616.0,2852.0,103.0,1284.0,905.0,1284.0,0.0,895.0,389.0,317.0,4742.0,1488.0,1358.0,0.0,927.0,431.0,130.0,32.0
32003000401,72.0,1000.0,124.04761904761904,2.6666666666666665,1.1904761904761905,1.1428571428571428,0.09523809523809519,32.0,230131002033321.72,116784.33333333333,25348.333333333332,23.88888888888889,10.125,fixed,Q1,2021.0,32.0,3.0,401.0,1400000US32003000401,4.01,CT,933886.0,0.0,"list(c(-115.142211914062, -115.13671875, -115.13671875, -115.142211914062, -115.142211914062, 36.1822249804225, 36.1822249804225, 36.1777910832907, 36.1777910832907, 36.1822249804225))",32.0,3.0,401.0,0.41200000000000003,0.652,0.1,0.366,0.163,9.51,13551.0,2416.0,687.0,41.2,65.2,36.599999999999994,16.3,13551.0,10.0,687.0,448.0,283.0,2416.0,885.0,2416.0,393.0,1814.0,182.0,448.0,283.0,448.0,5.0,269.0,174.0,239.0,1355.0,278.0,226.0,0.0,189.0,37.0,52.0,32.0
