tract,max_dn,max_up,dn10,dn100,dn250,fiber_100u,state
17031826201,634.3583333333332,42.935733333333346,2.1166666666666667,1.2666666666666666,1.0166666666666666,0.016666666666666666,17
17031826202,987.3717948717947,615.5802051282053,4.935897435897437,3.641025641025641,3.4423076923076925,0.5961538461538461,17
17031826301,961.2555555555556,40.5,3.755555555555556,2.2555555555555555,1.7555555555555555,0.0,17
17031826303,977.4166666666665,40.75,3.75,2.15,1.7833333333333334,0.0,17
17031826304,916.5555555555555,33.25496296296296,2.759259259259259,1.1296296296296295,0.9444444444444444,0.0,17
17031826401,934.8426966292136,33.716494382022475,2.8651685393258433,1.4719101123595506,0.9438202247191012,0.0,17
17031826402,967.2411347517732,34.50354609929078,2.9078014184397163,1.4184397163120568,0.9787234042553192,0.0,17
17031826500,933.438596491228,33.78091228070176,2.754385964912281,1.4385964912280702,0.9415204678362572,0.0,17
17031826600,953.1515151515152,34.15461818181818,2.915151515151515,1.539393939393939,0.9636363636363636,0.0,17
17031826700,950.4274193548387,34.274193548387096,2.943548387096774,1.4274193548387095,0.9596774193548387,0.0,17
17031826800,821.5292397660819,30.844444444444452,2.5964912280701755,1.08187134502924,0.8245614035087719,0.005847953216374269,17
17031826901,905.046511627907,32.40148837209302,2.8372093023255816,1.1705426356589148,0.9147286821705426,0.0,17
17031826902,941.5975609756098,33.96341463414634,2.9512195121951224,1.3170731707317074,0.951219512195122,0.0,17
17031827000,979.1379310344827,34.87068965517241,2.9224137931034484,1.2413793103448276,0.9913793103448276,0.0,17
17031827100,863.69918699187,31.32409756097561,2.3902439024390243,1.146341463414634,0.8699186991869918,0.0,17
17031827200,909.717277486911,34.09047120418848,2.5916230366492146,1.2879581151832458,1.057591623036649,0.0,17
17031827300,915.9626168224299,32.84179439252337,2.654205607476636,1.3738317757009346,0.9252336448598132,0.0,17
17031827400,890.6264367816092,32.60142528735632,2.454022988505747,1.235632183908046,0.9022988505747126,0.0,17
17031827500,863.9572072072071,31.73535135135135,2.4054054054054053,1.2117117117117118,0.8783783783783784,0.0,17
17031827600,894.2222222222223,31.864,1.968253968253968,1.1111111111111112,0.9047619047619048,0.0,17
17031827700,957.5206611570247,129.95867768595042,2.8925619834710745,1.5702479338842976,1.0578512396694215,0.09917355371900828,17
17031827801,999.35,84.875,4.7625,3.45,2.9,0.0375,17
17031827802,983.6206896551724,229.48275862068962,4.879310344827585,3.5862068965517233,3.0862068965517233,0.1896551724137931,17
17031827804,978.4090909090908,49.09090909090909,4.931818181818182,3.4545454545454546,2.9318181818181817,0.0,17
17031827805,923.9803921568628,45.68627450980392,4.313725490196078,3.117647058823529,2.588235294117647,0.0,17
17031827901,757.1632653061224,56.13534693877553,3.26530612244898,2.489795918367347,2.020408163265306,0.020408163265306117,17
17031827902,862.8093525179856,45.02946762589928,2.647482014388489,1.223021582733813,0.8848920863309353,0.014388489208633094,17
17031828000,961.843537414966,34.42176870748299,2.9727891156462585,1.5034013605442176,0.9727891156462584,0.0,17
17031828100,976.4728260869563,34.649521739130435,2.8967391304347827,1.4782608695652173,0.9891304347826086,0.0,17
17031828201,934.0813008130083,33.739837398373986,2.9268292682926833,1.5203252032520325,0.9430894308943092,0.0,17
17031828202,987.0,35.0,3.0,1.4415584415584417,1.0,0.0,17
17031828300,776.030303030303,29.031757575757574,2.3434343434343434,1.0606060606060606,0.7777777777777778,0.0,17
17031828401,895.6039603960396,32.791287128712874,2.584158415841584,1.3168316831683171,0.9009900990099008,0.0,17
17031828402,905.1517857142856,33.30585714285714,2.7857142857142856,1.4821428571428572,0.9107142857142856,0.0,17
17031828503,748.3376623376622,27.487272727272728,1.5194805194805194,0.7532467532467533,0.7532467532467533,0.0,17
17031828504,914.3387096774194,32.75681720430107,1.3548387096774193,0.9247311827956988,0.9247311827956988,0.0,17
